"id","course_no","question_no","similarity","created_at"
283,327672,430,0.7041277706850274,2026-09-14 11:58:53.318
284,331703,430,0.7038643160872269,2026-09-14 11:58:53.318
285,324947,441,0.6935722092918848,2026-09-14 11:58:53.318
286,332662,442,0.6701327377268024,2026-09-14 11:58:53.318
287,329643,443,0.6784227592949876,2026-09-14 11:58:53.318
288,332784,443,0.6762465256455218,2026-09-14 11:58:53.318
289,324188,443,0.6738516618811153,2026-09-14 11:58:53.318
290,332662,447,0.6837670873960401,2026-09-14 11:58:53.318
291,324947,451,0.6835839427118844,2026-09-14 11:58:53.318
292,329013,452,0.683949918083243,2026-09-14 11:58:53.318
293,324971,452,0.6839333612796761,2026-09-14 11:58:53.318
294,332662,452,0.6814552758816841,2026-09-14 11:58:53.318
295,324188,453,0.6854995020628856,2026-09-14 11:58:53.318
296,324947,457,0.682327128033477,2026-09-14 11:58:53.318
297,329013,458,0.7035422011505573,2026-09-14 11:58:53.318
298,324178,458,0.6949849668521441,2026-09-14 11:58:53.318
299,324971,458,0.6922655237638332,2026-09-14 11:58:53.318
300,330048,468,0.6743862580254162,2026-09-14 11:58:53.318
301,324078,468,0.6711749064743581,2026-09-14 11:58:53.318
302,324887,478,0.6713010800048973,2026-09-14 11:58:53.318
303,326833,478,0.6706592416751369,2026-09-14 11:58:53.318
304,318646,489,0.6771319052513292,2026-09-14 11:58:53.318
305,330837,489,0.675179468534645,2026-09-14 11:58:53.318
306,172836,489,0.6717592447029154,2026-09-14 11:58:53.318
307,330479,493,0.6707562132898331,2026-09-14 11:58:53.318
308,330479,496,0.6841414713529645,2026-09-14 11:58:53.318
309,329573,500,0.686442390798528,2026-09-14 11:58:53.318
310,174004,504,0.692110581540042,2026-09-14 11:58:53.318
311,327162,504,0.6738447809821839,2026-09-14 11:58:53.318
312,174004,505,0.6762510292214863,2026-09-14 11:58:53.318
313,329492,508,0.7536145396117148,2026-09-14 11:58:53.318
314,324131,508,0.7257478902289914,2026-09-14 11:58:53.318
315,327819,508,0.7175430537634742,2026-09-14 11:58:53.318
316,324217,515,0.6705523572266138,2026-09-14 11:58:53.318
317,330947,516,0.7017349646161938,2026-09-14 11:58:53.318
318,324217,516,0.6964876212377644,2026-09-14 11:58:53.318
319,40565,517,0.707684740219436,2026-09-14 11:58:53.318
320,333210,517,0.6873297203895181,2026-09-14 11:58:53.318
321,332901,517,0.6858471552067318,2026-09-14 11:58:53.318
322,327819,519,0.7358009183196573,2026-09-14 11:58:53.318
323,329492,519,0.6928879597613317,2026-09-14 11:58:53.318
324,29421,519,0.683812698613331,2026-09-14 11:58:53.318
325,333419,520,0.6750211028661772,2026-09-14 11:58:53.318
326,330479,520,0.6732317068330993,2026-09-14 11:58:53.318
327,329275,535,0.6897988730636452,2026-09-14 11:58:53.318
328,333701,535,0.6843271166318072,2026-09-14 11:58:53.318
329,330387,539,0.7399879298171688,2026-09-14 11:58:53.318
330,333120,539,0.7354873002686038,2026-09-14 11:58:53.318
331,325361,539,0.7159690640781459,2026-09-14 11:58:53.318
332,324178,542,0.6942429106336172,2026-09-14 11:58:53.318
333,329013,544,0.6925870608010612,2026-09-14 11:58:53.318
334,324178,547,0.6880926614289288,2026-09-14 11:58:53.318
335,329013,547,0.6802275736176582,2026-09-14 11:58:53.318
336,329013,549,0.6840610905932981,2026-09-14 11:58:53.318
337,324178,549,0.6773220584019068,2026-09-14 11:58:53.318
338,324178,550,0.6817554605835254,2026-09-14 11:58:53.318
339,332662,550,0.672600592781937,2026-09-14 11:58:53.318
340,324947,551,0.7103955156597725,2026-09-14 11:58:53.318
341,331308,551,0.7004986570548752,2026-09-14 11:58:53.318
342,329182,551,0.6859230281183983,2026-09-14 11:58:53.318
343,332662,554,0.6734548058045886,2026-09-14 11:58:53.318
344,329643,558,0.6827524399566902,2026-09-14 11:58:53.318
345,332930,579,0.688777388302624,2026-09-14 11:58:53.318
346,33440,579,0.6772628956420894,2026-09-14 11:58:53.318
347,22513,579,0.6745042472644935,2026-09-14 11:58:53.318
348,329573,592,0.6766444747928669,2026-09-14 11:58:53.318
349,327087,594,0.7431614226275624,2026-09-14 11:58:53.318
350,326007,599,0.6979840967703884,2026-09-14 11:58:53.318
351,330947,601,0.712948050945878,2026-09-14 11:58:53.318
352,324217,601,0.6757808705096541,2026-09-14 11:58:53.318
353,329492,602,0.7464172415455321,2026-09-14 11:58:53.318
354,326035,602,0.6974784132785151,2026-09-14 11:58:53.318
355,29421,602,0.6961976726418975,2026-09-14 11:58:53.318
356,332901,604,0.7282773659740225,2026-09-14 11:58:53.318
357,40565,604,0.714280589516527,2026-09-14 11:58:53.318
358,329808,604,0.6955772118241922,2026-09-14 11:58:53.318
359,329492,608,0.6883776530396927,2026-09-14 11:58:53.318
360,327819,608,0.6765681167037144,2026-09-14 11:58:53.318
361,326434,609,0.6863632455482626,2026-09-14 11:58:53.318
362,324139,613,0.6784913514667908,2026-09-14 11:58:53.318
363,327162,613,0.6745706861255507,2026-09-14 11:58:53.318
364,327819,615,0.7297095863816851,2026-09-14 11:58:53.318
365,329492,615,0.7289587610672495,2026-09-14 11:58:53.318
366,324131,615,0.6998445920483618,2026-09-14 11:58:53.318
367,174004,617,0.6792759934991667,2026-09-14 11:58:53.318
368,325969,617,0.6777390473742921,2026-09-14 11:58:53.318
369,330479,622,0.6911426818250528,2026-09-14 11:58:53.318
370,333120,624,0.7345633872095626,2026-09-14 11:58:53.318
371,330387,624,0.7188730012954948,2026-09-14 11:58:53.318
372,325361,624,0.7178691091025601,2026-09-14 11:58:53.318
373,333095,631,0.6849098434177677,2026-09-14 11:58:53.318
374,331149,636,0.6876917491346738,2026-09-14 11:58:53.318
375,332662,644,0.679416879514625,2026-09-14 11:58:53.318
376,324947,644,0.6753428473159828,2026-09-14 11:58:53.318
377,324188,650,0.6743455801933932,2026-09-14 11:58:53.318
378,324178,655,0.703322641187394,2026-09-14 11:58:53.318
379,329013,655,0.7001316423913843,2026-09-14 11:58:53.318
380,324971,655,0.6906476363731833,2026-09-14 11:58:53.318
381,324178,658,0.6769805816365213,2026-09-14 11:58:53.318
382,329013,658,0.672353308280124,2026-09-14 11:58:53.318
383,330713,662,0.6710732302668795,2026-09-14 11:58:53.318
384,243266,662,0.6710350842319347,2026-09-14 11:58:53.318
385,327827,663,0.680161189498491,2026-09-14 11:58:53.318
386,328680,668,0.681766674952788,2026-09-14 11:58:53.318
387,327744,668,0.6787976852303839,2026-09-14 11:58:53.318
388,330048,669,0.6792151768582008,2026-09-14 11:58:53.318
389,324532,674,0.6902660327080455,2026-09-14 11:58:53.318
390,326828,675,0.6703267692502447,2026-09-14 11:58:53.318
391,333468,676,0.6832783206328588,2026-09-14 11:58:53.318
392,326826,676,0.6765811317974149,2026-09-14 11:58:53.318
393,329596,676,0.6739332670998702,2026-09-14 11:58:53.318
394,332891,680,0.6735392097665293,2026-09-14 11:58:53.318
395,324139,703,0.7200735669653241,2026-09-14 11:58:53.318
396,324192,703,0.7061512961350956,2026-09-14 11:58:53.318
397,174004,703,0.7041999247342875,2026-09-14 11:58:53.318
398,331322,705,0.6880845446510456,2026-09-14 11:58:53.318
399,332441,705,0.6832873218054571,2026-09-14 11:58:53.318
400,329492,707,0.7137383303532022,2026-09-14 11:58:53.318
401,327819,707,0.7018214261729334,2026-09-14 11:58:53.318
402,326035,707,0.6719109693659303,2026-09-14 11:58:53.318
403,326434,710,0.6809238027686974,2026-09-14 11:58:53.318
404,329551,712,0.671753601649532,2026-09-14 11:58:53.318
405,324217,713,0.6939615038526087,2026-09-14 11:58:53.318
406,330947,713,0.6829176618734185,2026-09-14 11:58:53.318
407,174004,716,0.6998045654850044,2026-09-14 11:58:53.318
408,324139,716,0.6768543597241787,2026-09-14 11:58:53.318
409,333307,722,0.6721123843206378,2026-09-14 11:58:53.318
410,149177,735,0.6871498339937809,2026-09-14 11:58:53.318
411,330656,735,0.6814240973627657,2026-09-14 11:58:53.318
412,329013,741,0.7153109724488292,2026-09-14 11:58:53.318
413,324178,741,0.7146473915646058,2026-09-14 11:58:53.318
414,324971,741,0.6965386944436498,2026-09-14 11:58:53.318
415,332662,744,0.6822848059995092,2026-09-14 11:58:53.318
416,324947,749,0.702054129079173,2026-09-14 11:58:53.318
417,324178,749,0.6891917239340889,2026-09-14 11:58:53.318
418,329182,749,0.689179697172716,2026-09-14 11:58:53.318
419,329013,755,0.715081594892312,2026-09-14 11:58:53.318
420,324178,755,0.713124875785646,2026-09-14 11:58:53.318
421,324971,755,0.703261069626701,2026-09-14 11:58:53.318
422,324078,763,0.6788036146843275,2026-09-14 11:58:53.318
423,326220,766,0.6704820530652611,2026-09-14 11:58:53.318
424,328138,775,0.6706020761243098,2026-09-14 11:58:53.318
425,332930,778,0.6766046210380385,2026-09-14 11:58:53.318
426,326778,786,0.6745332979605175,2026-09-14 11:58:53.318
427,328269,786,0.6735809149971569,2026-09-14 11:58:53.318
428,221705,786,0.6720600140482903,2026-09-14 11:58:53.318
429,326007,792,0.7074636042049105,2026-09-14 11:58:53.318
430,329573,793,0.6843903578602055,2026-09-14 11:58:53.318
431,333389,800,0.6736865365103826,2026-09-14 11:58:53.318
432,327854,807,0.7215636229308041,2026-09-14 11:58:53.318
433,303220,824,0.6889629313750252,2026-09-14 11:58:53.318
434,328521,839,0.6719197697802847,2026-09-14 11:58:53.318
435,324577,846,0.7082884127858956,2026-09-14 11:58:53.318
436,324949,846,0.7050278216864261,2026-09-14 11:58:53.318
437,326041,846,0.6880028042413755,2026-09-14 11:58:53.318
438,327087,853,0.7644456405227914,2026-09-14 11:58:53.318
439,330444,853,0.6837157740406157,2026-09-14 11:58:53.318
440,325984,855,0.702238870223705,2026-09-14 11:58:53.318
441,38528,855,0.6824539583499213,2026-09-14 11:58:53.318
442,332662,857,0.6899580104624411,2026-09-14 11:58:53.318
443,324178,857,0.672170923576951,2026-09-14 11:58:53.318
444,329987,857,0.6704723157914642,2026-09-14 11:58:53.318
445,329573,863,0.6958547556897424,2026-09-14 11:58:53.318
446,333388,863,0.6732700817502257,2026-09-14 11:58:53.318
447,332955,882,0.7180871798297344,2026-09-14 11:58:53.318
448,328754,882,0.7140716807064754,2026-09-14 11:58:53.318
449,326985,882,0.6990314709384627,2026-09-14 11:58:53.318
450,328940,890,0.7002488200145011,2026-09-14 11:58:53.318
